response,Quanta
1,73.1
1,73.1
1,73.1
1,113.8
1,113.8
1,113.8
1,113.8
1,113.8
1,113.8
1,113.8
1,113.8
1,113.8
1,113.8
1,113.8
1,113.8
1,177.4
1,177.4
1,177.4
1,177.4
1,177.4
1,177.4
1,177.4
1,177.4
1,177.4
1,177.4
1,177.4
1,177.4
1,177.4
1,177.4
1,177.4
1,177.4
1,177.4
1,177.4
1,177.4
1,177.4
1,177.4
1,177.4
1,177.4
1,177.4
1,177.4
1,177.4
1,276.1
1,276.1
1,276.1
1,276.1
1,276.1
1,276.1
1,276.1
1,276.1
1,276.1
1,276.1
1,276.1
1,276.1
1,276.1
1,276.1
1,276.1
1,276.1
1,276.1
1,276.1
1,276.1
1,276.1
1,276.1
1,276.1
1,276.1
1,276.1
1,276.1
1,276.1
1,276.1
1,276.1
1,276.1
1,276.1
1,276.1
1,276.1
1,276.1
1,276.1
1,276.1
1,421.7
1,421.7
1,421.7
1,421.7
1,421.7
1,421.7
1,421.7
1,421.7
1,421.7
1,421.7
1,421.7
1,421.7
1,421.7
1,421.7
1,421.7
1,421.7
1,421.7
1,421.7
1,421.7
1,421.7
1,421.7
1,421.7
1,421.7
1,421.7
1,421.7
1,421.7
1,421.7
1,421.7
1,421.7
1,421.7
1,421.7
1,421.7
1,421.7
1,421.7
1,421.7
0,46.9
0,46.9
0,46.9
0,46.9
0,46.9
0,46.9
0,46.9
0,46.9
0,46.9
0,46.9
0,46.9
0,46.9
0,46.9
0,46.9
0,46.9
0,46.9
0,46.9
0,46.9
0,46.9
0,46.9
0,46.9
0,46.9
0,46.9
0,46.9
0,46.9
0,46.9
0,46.9
0,46.9
0,46.9
0,46.9
0,46.9
0,46.9
0,46.9
0,46.9
0,46.9
0,73.1
0,73.1
0,73.1
0,73.1
0,73.1
0,73.1
0,73.1
0,73.1
0,73.1
0,73.1
0,73.1
0,73.1
0,73.1
0,73.1
0,73.1
0,73.1
0,73.1
0,73.1
0,73.1
0,73.1
0,73.1
0,73.1
0,73.1
0,73.1
0,73.1
0,73.1
0,73.1
0,73.1
0,73.1
0,73.1
0,73.1
0,73.1
0,113.8
0,113.8
0,113.8
0,113.8
0,113.8
0,113.8
0,113.8
0,113.8
0,113.8
0,113.8
0,113.8
0,113.8
0,113.8
0,113.8
0,113.8
0,113.8
0,113.8
0,113.8
0,113.8
0,113.8
0,113.8
0,113.8
0,113.8
0,177.4
0,177.4
0,177.4
0,177.4
0,177.4
0,177.4
0,177.4
0,177.4
0,177.4
